,FrameName,frameDefinitions,frameExamples,role,roleExamples
0,Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts, for instance an institution or a system of laws.",They want to <t>reform</t> the law on Sunday trading.,Entity,Particular attention will be devoted to recent proposals to reform <fex>UK competition policy</fex>.
0,Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts, for instance an institution or a system of laws.",They want to <t>reform</t> the law on Sunday trading.,Cause,"Thus , <fex>radical reform</fex> restructures rape offences in ways that it is hoped will facilitate the prosecution process without jeopardising the interests of the accused ."
0,Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts, for instance an institution or a system of laws.",They want to <t>reform</t> the law on Sunday trading.,Time,"The House of Representatives, on a bipartisan basis, sought to reform the program <fex>this year</fex>."
0,Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts, for instance an institution or a system of laws.",They want to <t>reform</t> the law on Sunday trading.,Place,
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Mother,<fex>Betty</fex> bore Gerry three intelligent daughters.
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Child,Betty bore Gerry <fex>three intelligent daughters</fex>.
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Father,Betty bore <fex>Gerry</fex> three intelligent daughters.
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Egg,Female clownfish lay <fex>their eggs</fex> around sea anemones
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Parents,<fex>We</fex> are going to be having twins!
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Time,
0,Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.',Betty <t>bore</t> Gerry three intelligent daughters.,Place,
0,Receiving_scenario,The sequence beginning with the Recipient not having the Theme and ending with the Recipient in possession of the Theme.,,Recipient,
0,Receiving_scenario,The sequence beginning with the Recipient not having the Theme and ending with the Recipient in possession of the Theme.,,Donor,
0,Receiving_scenario,The sequence beginning with the Recipient not having the Theme and ending with the Recipient in possession of the Theme.,,Theme,
0,Attempt,An Agent attempts to achieve a Goal.,John <t>attempted</t> to climb Mt. Everest.,Agent,<fex>John</fex> attempted to climb Mt. Everest.
0,Attempt,An Agent attempts to achieve a Goal.,John <t>attempted</t> to climb Mt. Everest.,Time,
0,Attempt,An Agent attempts to achieve a Goal.,John <t>attempted</t> to climb Mt. Everest.,Place,<fex>On the bridge</fex> he attempted to put the wig on.
0,Cause_emotion,An Agent acts to  cause a Experiencer to feel a certain emotion.,I was so <t>offended</t> by her behaviour towards me.,Agent,
0,Cause_emotion,An Agent acts to  cause a Experiencer to feel a certain emotion.,I was so <t>offended</t> by her behaviour towards me.,Experiencer,<fex>You</fex> will perhaps be affronted by my frankness
0,Cause_emotion,An Agent acts to  cause a Experiencer to feel a certain emotion.,I was so <t>offended</t> by her behaviour towards me.,Event,
0,Cause_emotion,An Agent acts to  cause a Experiencer to feel a certain emotion.,I was so <t>offended</t> by her behaviour towards me.,Time,
0,Cause_emotion,An Agent acts to  cause a Experiencer to feel a certain emotion.,I was so <t>offended</t> by her behaviour towards me.,Place,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Experimenter,<fex>Justin's</fex> experiment turned out to be rather successful.
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Control_group,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Control_group_member,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Treatment_group,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Treated_individual,<fex>One rat's</fex> treatment caused it to outlive the rats of the control group.
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Experiment,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Hypothesis,Katrina tested <fex>her hypothesis</fex> yesterday afternoon. 
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Subjects,They were hoping to conduct an experiment <fex>on the albino rats</fex>.
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Topic,Jimmy conducted an experiment <fex>on tropical plants in non-tropical environments</fex>.
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Time,
0,Experimentation,An Experimenter conducts an Experiment based on a Hypothesis.,Johann's <t><fex name='Experiment'>experiment</fex></t> proved the new drug was effective in treating the disease.,Place,
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Side_1,While <fex>the U.S.'s</fex> battle with terrorist-harboring nations is far off ...
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Side_2,While the U.S.'s battle <fex>with terrorist-harboring nations</fex> is far off ...
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Sides,<fex>They</fex> fought over the right to own land.
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Issue,They had a dust-up <fex>over who was prettier</fex> .
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Purpose,He dueled with his former second <fex>to defend the honour of the man he had killed</fex> .
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Time,Following the battle of Naseby <fex>in 1645</fex> he died.
0,Hostile_encounter,"This frame consists of words that describe a hostile encounter between opposing forces (Side_1 and Side_2, collectively conceptualizable as Sides) over a disputed Issue and/or in order to reach a specific  Purpose. ''",He still wants to <t>fight</t> Mike Tyson in about 8 months.,Place,Following the battle <fex>of Naseby</fex> in 1645 ...
0,Locale_by_characteristic_entity,A Locale is characterized by the type of entity associated with the Locale.,This neighborhood started out as a Russian <t><fex name='loc'>enclave</fex></t>.,Locale,A twenty-minute walk will take you to the Dutch-speaking <fex>quarter</fex> of the city.
0,Locale_by_characteristic_entity,A Locale is characterized by the type of entity associated with the Locale.,This neighborhood started out as a Russian <t><fex name='loc'>enclave</fex></t>.,Characteristic,A twenty-minute walk will take you to the <fex>Dutch-speaking</fex> quarter of the city.
0,Exemplariness,"An Entity, with regard to a particular Domain, is representative of a conceptual prototype of the Comparison_set of which it is a member.",Virginia Woolf is a <t>prototypical</t> Modernist author.,Entity,
0,Exemplariness,"An Entity, with regard to a particular Domain, is representative of a conceptual prototype of the Comparison_set of which it is a member.",Virginia Woolf is a <t>prototypical</t> Modernist author.,Comparison_set,
0,Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.,His accomplice <t>freed</t> him from Sing Sing prison thanks to his disguise.,Agent,<fex>The police</fex> freed the suspect.
0,Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.,His accomplice <t>freed</t> him from Sing Sing prison thanks to his disguise.,Theme,The police freed <fex>the suspect</fex>.
0,Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.,His accomplice <t>freed</t> him from Sing Sing prison thanks to his disguise.,Location_of_confinement,Rebels set three prisoners free <fex>from holding cells</fex>.
0,Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.,His accomplice <t>freed</t> him from Sing Sing prison thanks to his disguise.,Time,
0,Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.,His accomplice <t>freed</t> him from Sing Sing prison thanks to his disguise.,Place,'Aren't you going to free us <fex>here</fex>?' she asked.
0,Daring,An Agent performs some Action which is considered imprudent.,I <t>risked</t> taking another look.,Agent,"I do n't think <fex>you</fex> should hazard the ascent in the dark , that 's all ."
0,Daring,An Agent performs some Action which is considered imprudent.,I <t>risked</t> taking another look.,Action,I chanced <fex>a peek at myself</fex>.
0,Daring,An Agent performs some Action which is considered imprudent.,I <t>risked</t> taking another look.,Time,"<fex>At dawn</fex>, the Captain chanced opening the hatch."
0,Daring,An Agent performs some Action which is considered imprudent.,I <t>risked</t> taking another look.,Place,"<fex>Back in his room</fex>, he risked peeking inside."
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Whole,<fex>Metalworkers' union</fex> to split into regional divisions
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Parts,"These daughter chromosomes then begin to separate <fex>from each other</fex>, each moving away from the metaphase plate and toward one of the two spindle pole regions."
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Part_1,"Initially, <fex>the front part</fex> separated from the rest of the body."
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Part_2,Initially the front split <fex>from the rest of the body</fex>
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Time,However it is believed they separated <fex>at least 2 if not 3 million years ago</fex>.
0,Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2.","This small channel meanders through marsh and wetland, <t>splitting</t> into several smaller channels that empty into Lake St. Clair.",Place,The two parts likely separated <fex>above the Atlantic</fex>.
0,Animals,"The LUs in this frame refer to biological entities other than human beings and plants, which are labeled by the FE Animal.  ''",My husband and I adopted a really sweet dog last year.,Animal,Did you see that <fex>bird</fex> in the tree?
0,Distinctiveness,A Feature of an Entity serves to distinguish the Entity from other members of its type which have a different value for the Feature.,His <t>distinctive</t> flowing gait and skill with the rapier set him apart from his fellows.,Feature,That never depleting ammo in his arsenal - his signature <fex>smile</fex> - is contagious.
0,Distinctiveness,A Feature of an Entity serves to distinguish the Entity from other members of its type which have a different value for the Feature.,His <t>distinctive</t> flowing gait and skill with the rapier set him apart from his fellows.,Entity,These signatures may be distinctive <fex>of the entire Chlamydiales order</fex>.
0,Stage_of_progress,An Entity is at a particular stage of its development., The <t>Next Generation</t> Internet (NGI) Program has been successfully completed.,Entity,We offer advice for very advanced <fex>learners of English</fex> on the different EFL/ESL exams.
0,Stage_of_progress,An Entity is at a particular stage of its development., The <t>Next Generation</t> Internet (NGI) Program has been successfully completed.,Time,
0,Be_subset_of,A Part is considered to be a member of the set described by the Total.,Dr. Nelson <t>numbers</t> among the world?s foremost geotechnical engineering experts.,Total,"As a representative in Congress in the years 1783-85, Gerry numbered <fex>among those who had possessed talent as Revolutionary agitators and wartime leaders</fex>."
0,Be_subset_of,A Part is considered to be a member of the set described by the Total.,Dr. Nelson <t>numbers</t> among the world?s foremost geotechnical engineering experts.,Part,Just be glad that <fex>you</fex> number among the living.
0,Be_subset_of,A Part is considered to be a member of the set described by the Total.,Dr. Nelson <t>numbers</t> among the world?s foremost geotechnical engineering experts.,Time,"<fex>At that time</fex>, the factory numbered among the largest in the western half of North America."
0,Be_subset_of,A Part is considered to be a member of the set described by the Total.,Dr. Nelson <t>numbers</t> among the world?s foremost geotechnical engineering experts.,Place,"<fex>In Europe</fex>, the sport counts among the economic branches of industry which generate employment among the young people."
0,Clemency,An Executive_authority exercises their power to reduce or remove negative consequences for someone who has been labeled an Offender who participated in an Crime.,"A Fort Worth man convicted of a robbery his brother later confessed
to committing was granted <t>clemency</t> on December 20, 2002, by Governor Rick Perry.",Offender,"Since 1976, <fex>225 death row inmates</fex> have been granted clemency for humanitarian
reasons. "
0,Clemency,An Executive_authority exercises their power to reduce or remove negative consequences for someone who has been labeled an Offender who participated in an Crime.,"A Fort Worth man convicted of a robbery his brother later confessed
to committing was granted <t>clemency</t> on December 20, 2002, by Governor Rick Perry.",Crime,I never saw a legal case where a person was given clemency <fex>for murder</fex>.
0,Clemency,An Executive_authority exercises their power to reduce or remove negative consequences for someone who has been labeled an Offender who participated in an Crime.,"A Fort Worth man convicted of a robbery his brother later confessed
to committing was granted <t>clemency</t> on December 20, 2002, by Governor Rick Perry.",Executive_authority,"Mr. Papa was granted clemency for a drug conviction <fex>by Mr. Pataki</fex>, and released in 1997"
0,Clemency,An Executive_authority exercises their power to reduce or remove negative consequences for someone who has been labeled an Offender who participated in an Crime.,"A Fort Worth man convicted of a robbery his brother later confessed
to committing was granted <t>clemency</t> on December 20, 2002, by Governor Rick Perry.",Time,"In addition to Ms.  White, 55, Mr.  Pataki granted clemency <fex>yesterday</fex> to three men serving long prison terms for offenses under the stern Rockefeller-era drug laws that mandate long sentences for some relatively low-level drug crimes."
0,Clemency,An Executive_authority exercises their power to reduce or remove negative consequences for someone who has been labeled an Offender who participated in an Crime.,"A Fort Worth man convicted of a robbery his brother later confessed
to committing was granted <t>clemency</t> on December 20, 2002, by Governor Rick Perry.",Place,"Apparently, no woman has ever been granted clemency <fex>there</fex>."
0,Alignment_image_schema,An Alignment_match region has the same orientation as the relatively linear Ground.,,Alignment_match,
0,Alignment_image_schema,An Alignment_match region has the same orientation as the relatively linear Ground.,,Ground,
0,Alignment_image_schema,An Alignment_match region has the same orientation as the relatively linear Ground.,,Alignment_mismatch,
0,Condition_symptom_relation,A Patient has a Medical_condition that can be understood by its Symptoms., Neurally mediated syncope is thethe most common <t>cause</t> of syncope.,Patient,<fex>Premenopausal women</fex> often will present with atypical bleeding between typical menstrual cycles.
0,Condition_symptom_relation,A Patient has a Medical_condition that can be understood by its Symptoms., Neurally mediated syncope is thethe most common <t>cause</t> of syncope.,Medical_condition,
0,Condition_symptom_relation,A Patient has a Medical_condition that can be understood by its Symptoms., Neurally mediated syncope is thethe most common <t>cause</t> of syncope.,Symptom,
0,Condition_symptom_relation,A Patient has a Medical_condition that can be understood by its Symptoms., Neurally mediated syncope is thethe most common <t>cause</t> of syncope.,Time,
0,Condition_symptom_relation,A Patient has a Medical_condition that can be understood by its Symptoms., Neurally mediated syncope is thethe most common <t>cause</t> of syncope.,Place,
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Loaner,"If you borrow, you'll have to repay <fex>the bank</fex>"
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Debtor,<fex>I</fex> paid Johnson back for the movie ticket.
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Money,Pay me back <fex>my 20 dollars</fex>!
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Loan,You must repay <fex>the mortgage</fex> in full.
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Time,"Don't worry, I'll pay you back <fex>later</fex>."
0,Repayment,A Debtor gives a Loaner Money in return for having borrowed Money at an earlier time.,"I am <t>paying</t> <t>back</t> $2,000 of my student loan to the government.",Place,They repaid Lenny <fex>in a dark alleyway</fex>.
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Protagonist,
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Skill,
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Knowledge,
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Behavior_product,A skillful <fex>advertising campaign</fex> persuaded voters that his opponent was soft on crime.
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Focal_participant,
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Role,His prowess <fex>as a surgeon</fex> is impressive.
0,Expertise,This frame concerns people's knowledge or skill in certain domains.,FE Layer-1: He is an <t>experienced</t> programmer.,Time,
0,Hunting_scenario,A Hunter endeavors to- and either fails or succeeds at finding and obtaining Food.,,Hunter,
0,Hunting_scenario,A Hunter endeavors to- and either fails or succeeds at finding and obtaining Food.,,Food,
0,Hunting_scenario,A Hunter endeavors to- and either fails or succeeds at finding and obtaining Food.,,Ground,
0,Hunting_scenario,A Hunter endeavors to- and either fails or succeeds at finding and obtaining Food.,,Time,
0,Hunting_scenario,A Hunter endeavors to- and either fails or succeeds at finding and obtaining Food.,,Place,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Party_1,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Party_2,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Obligation,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Topic,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Parties,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Time,
0,Having_commercial_agreement,"Party_1 and Party_2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill.",,Place,
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Deformer,<fex>The lieutenant</fex> crushed it angrily with his boot before looking back at Hencke.
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Patient,"Jack plucked the flower out of his morning coat and closed his fist slowly over it , crushing <fex>it</fex> into a pulp."
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Cause,<fex>The strong winds</fex> deformed the structure of the outhouse.
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Configuration,
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Time,The lieutenant crushed it angrily with his boot <fex>before looking back at Hencke</fex>.
0,Reshaping,"In this frame a Deformer deforms a Patient possibly against a Resistant_surface such that it undergoes a shape-change from its canonical or original shape into the Configuration, a new shape.",Ellen <t>crumpled</t> the paper into a ball.,Place,
0,Visitor_arrival,An Agent arrives at a Goal that should enable their Purpose.,,Agent,
0,Visitor_arrival,An Agent arrives at a Goal that should enable their Purpose.,,Goal,Our visitors arrived yesterday.
0,Visitor_arrival,An Agent arrives at a Goal that should enable their Purpose.,,Time,
0,Visitor_arrival,An Agent arrives at a Goal that should enable their Purpose.,,Place,
0,Gradable_attributes,An Entity has an implicit Value for an Attribute.,,Entity,
0,Gradable_attributes,An Entity has an implicit Value for an Attribute.,,Degree,
0,Gradable_attributes,An Entity has an implicit Value for an Attribute.,,Time,
0,Gradable_attributes,An Entity has an implicit Value for an Attribute.,,Place,
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Buyer,<fex>Jess</fex> bought a coat.
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Goods,Kim bought <fex>the sweater</fex>.
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Money,Pat paid <fex>14 dollars</fex> for a movie ticket.
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Seller,
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Exchangers,
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Time,
0,Commerce_goods-transfer,The subframe of the Commercial_transaction in which the Seller gives the Goods to the Buyer (in exchange for the Money).,,Place,
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Agent,"<fex>The system administrator</fex> changed the value from 'KDE' to 'GNOME', and then restarted the system."
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Initial_category,"Her time with the Healer Craft has changed her <fex>from a shy, nervous young girl</fex> into a confident (almost) young woman"
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Final_category,The radical message of the cross transformed Saul of Tarsus and changed him from a persecutor of Christians <fex>to a tender believer</fex>.
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Final_value,We changed the size from 8 1/2x11 <fex>to a larger 11 x 17</fex> and gave it a complete graphical makeover. 
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Initial_value,My dad changed his hair color <fex>from red</fex>  to blue today.
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Entity,The recent terrorist attacks had changed <fex>the political climate</fex>.
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Time,He changed it <fex>after David Bowie told him that only twerps have the same first and last name</fex>.
0,Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute.","Our storylines follows the saga outlined by the Ultima Series, but we have <t>modified</t> it in order to make our writing more cohesive.",Place,<fex>In his own room</fex> he had modified nothing.
0,Facial_expression,The words in this frame refer to facial Expressions and the Possessors of those Expressions.,His lackluster <t>smile</t> revealed his disappointment.,Expression,He gave a wide <fex>grin</fex>.
0,Facial_expression,The words in this frame refer to facial Expressions and the Possessors of those Expressions.,His lackluster <t>smile</t> revealed his disappointment.,Possessor,<fex>Ryan</fex> grinned.
0,Facial_expression,The words in this frame refer to facial Expressions and the Possessors of those Expressions.,His lackluster <t>smile</t> revealed his disappointment.,Conveyed_emotion,He had an <fex>angry</fex> expression.
0,Speed_description,"An Entity is in motion  at a particular Speed, a momentaneous description of distance traveled per time.",The car went by real <t>fast</t>.,Entity,
0,Speed_description,"An Entity is in motion  at a particular Speed, a momentaneous description of distance traveled per time.",The car went by real <t>fast</t>.,Attribute,
0,Speed_description,"An Entity is in motion  at a particular Speed, a momentaneous description of distance traveled per time.",The car went by real <t>fast</t>.,Speed,
0,Speed_description,"An Entity is in motion  at a particular Speed, a momentaneous description of distance traveled per time.",The car went by real <t>fast</t>.,Degree,
0,Speed_description,"An Entity is in motion  at a particular Speed, a momentaneous description of distance traveled per time.",The car went by real <t>fast</t>.,Time,
0,Subjective_influence,"An Agent, Situation or Entity has an influence on a Cognizer.", These works had a profound effect and <t>influenced</t> her in the creation of a successful series capturing this sun-drenched region.,Cognizer,George Gilder would run with this idea later in writing the New Testament of supply-side economics that influenced <fex>Reagan</fex>. 
0,Subjective_influence,"An Agent, Situation or Entity has an influence on a Cognizer.", These works had a profound effect and <t>influenced</t> her in the creation of a successful series capturing this sun-drenched region.,Situation,<fex>The balmy temperatures</fex> inspired me to write a poem on the advent of spring.
0,Subjective_influence,"An Agent, Situation or Entity has an influence on a Cognizer.", These works had a profound effect and <t>influenced</t> her in the creation of a successful series capturing this sun-drenched region.,Entity,<fex>The painting</fex> inspired me to take a risk and use the intense green for the sky.
